"Donor Code","Donor Name","Date & Time","Facility"
"BD-FB3879F598FA","mr Saturday Nelo Test1","Dec 3, 2022 : 12:00 PM","Blood Donation Center"
"BD-EFAF2184956A","dr Sam Wilson","Dec 5, 2022 : 11:00 AM","Abuja Mobile Donation Center"
"BD-970A5533599D","mr Reagal Meadows","Dec 5, 2022 : 11:00 AM","Abuja Mobile Donation Center-1"
"BD-E0C07C2096D5","prof Timothy Danny","Dec 5, 2022 : 12:00 PM","Abuja Mobile Donation Center"
"BD-FB3879F598FA","mr Saturday Nelo Test1","Dec 5, 2022 : 6:00 PM","Blood Donation Center"
"BD-D629ADC1FCA8","mr Gregory Spine","Dec 6, 2022 : 6:00 PM","Abuja Mobile Donation Center"
"BD-BD8E1165BEE5","Jerry Okolie","Dec 8, 2022 : 12:00 PM","Abuja Mobile Donation Center"
"BD-56FC8150BB2C","mrs Dino Femi","Dec 22, 2022 : 10:27 AM","Abuja Mobile Donation Center"
"BD-058A3B1113BD","mrs Okon Anita Iweala","Jan 12, 2023 : 1:45 PM","Blood Donation Center"
"BD-71C236A722B8","mr Monday Aghale","Jan 16, 2023 : 1:00 PM","Blood Donation Center"
"BD-EB02762E19BA","mr Barrack Obama","Jan 31, 2023 : 12:00 PM","Blood Donation Center"
"BD-F4737C153985","mr Biden Hunter","Feb 10, 2023 : 12:00 PM","Blood Donation Center"
"BD-1EA1BCB2D73C","mr Francis Nelo","Feb 20, 2023 : 12:00 PM","Blood Donation Center"
"BD-CB3BA79F83C6","prof Aboubacar Douno","Feb 27, 2023 : 12:00 PM","Abuja Mobile Donation Center"
"BD-D2B7974B10B5","mr Francisca Esti","Apr 11, 2023 : 12:46 PM","Blood Donation Center-1"
"BD-EC0A8D5E8EE3","Francis A. Test","Apr 16, 2023 : 3:23 AM","Blood Donation Center"
"BD-CB3BA79F83C6","prof Aboubacar Douno","May 3, 2023 : 5:15 AM","Blood Donation Center"
"BD-5F83018721A2","mr Abbey Oshodi","May 3, 2023 : 5:15 AM","Blood Donation Center"
"BD-5F83018721A2","mr Abbey Oshodi","May 12, 2023 : 11:59 AM","Blood Donation Center"
"BD-EC0A8D5E8EE3","Francis A. Test","May 12, 2023 : 12:00 PM","Abuja Mobile Donation Center"
"BD-EC0A8D5E8EE3","Francis A. Test","May 15, 2023 : 11:31 AM","Abuja Mobile Donation Center"
"BD-559046DAAF19","17th May","May 20, 2023 : 10:26 AM","Blood Donation Center"
"BD-AF20D8A99D84","mr Alan Scott","May 22, 2023 : 9:53 AM","Abuja Mobile Donation Center"
"BD-559046DAAF19","17th May","May 31, 2023 : 10:26 AM","Blood Donation Center"
"BD-1E6347AB524F","ms Precious Adamu","Jun 14, 2023 : 1:00 PM","Blood Donation Center"
"BD-C15A7D6FA486","ms Ayo Shaibu","Jun 15, 2023 : 10:26 AM","Abuja Mobile Donation Center"
"BD-E17281EF9988","ms Fatima Shaibu","Jul 3, 2023 : 10:04 AM","Abuja Mobile Donation Center"
"BD-D79D55D24CD1","mr Ali Blood","Jul 4, 2023 : 12:54 PM","Blood Donation Center"
"BD-7FFEE370DE84","mr Test Akth","Jul 5, 2023 : 10:11 AM","Blood Donation Center"
"BD-394D8830EC75","mr Akth Test","Jul 5, 2023 : 10:41 AM","Blood Donation Center"
"BD-1AF8AE8C46FB","ms Kano Test","Jul 5, 2023 : 11:17 AM","Abuja Mobile Donation Center"
"BD-0A9FF07E86AD","prof Onome Faith","Jul 6, 2023 : 10:18 AM","Blood Donation Center"
"BD-62D16B7A9153","ms Onome London","Jul 10, 2023 : 9:00 AM","Blood Donation Center"
"BD-45D42B027D33","ms Hajara Abdullahi","Jul 10, 2023 : 1:22 PM","Blood Donation Center"
"BD-9BC705F346AE","Mr John A","Dec 11, 2023 : 1:00 AM","Abuja Mobile Donation Center"
